TransactionId|AccountId|TransactionDate|TransactionType|TransactionCurrency|TransactionAmount|TransactionNarrative|ReversalIndicator|MID|CardType
c5ac22a4-3051-f59b-3a43-42345c89bf11|68b8a813-0813-4883-f927-b0f4fed9769b|10/04/2025|Credit|GEL|65.25|nihil|N|k820bvrxj6yqhqw|Amex
fa04627e-ffcd-3145-dbc7-ee2e62848ebf|4fa5727b-2403-b7ee-758d-18c0c636ad0f|27/03/2025|Credit|VUV|70.57|eos|N|rrsdcy2t31o78y3|Discover
e11d86e0-8d86-acb7-c806-4bb68f1cd82e|016c87fb-b2a1-ee94-74f2-adcc00448470|31/03/2025|Credit|MUR|250.53|occaecati|N|6vijmwl889earcw|Mastercard
f1748662-624e-bb86-19da-28e95bd67918|62379857-f545-808c-acd5-62d7130423f2|18/03/2025|Transfer|KZT|323.74|in|N|kisixbnz7h8dsfo|Mastercard
44735805-6849-3255-c659-0780d8394718|1ac5d85d-e03b-e849-7e0e-43d320167e4e|27/03/2025|Credit|XBA|50.81|illum|N|flkk8uvri8hs1t6|Mastercard
a6c37043-3019-07fa-560e-b2d186e53537|3f25840f-9713-cee7-c03b-8c6d44a6550a|27/03/2025|Debit|AUD|2.78|rerum|N|22cfif4x6q233x7|Amex
519e40e2-5097-900b-35e4-3c3f0e6d838a|421d1447-d2d7-675f-5220-0e19774def12|12/04/2025|Transfer|ILS|308.97|recusandae|N|tjmznx2p0fnaybi|Amex
8621453f-fc51-07c9-076b-c00306677600|c9323c13-ea97-14b7-8f3e-4562c5072564|16/03/2025|Debit|XBA|181.22|et|N|ihxwvzrlfxrpblm|Amex
d35f687c-5061-4dc8-f47f-446f570e6b59|df5e3b01-8a2d-d764-92e1-dc6ac4d6d86e|04/04/2025|Transfer|RSD|148.74|omnis|N|6k8auvdoxfaak79|Amex
367ed376-e33c-e38d-6c13-7e50058a5ca4|c9bd0c8d-c252-4e81-b300-0aa4005bed3d|16/03/2025|Debit|XBA|121.05|nesciunt|N|zqow1txqocq1ldl|Discover
5161d525-148c-6f26-6ce4-ec98781d4ce9|3d0e3e7c-4b0d-a32b-7d6e-6071c21a4ceb|24/03/2025|Transfer|BDT|79.71|et|N|y2zxy9c346fxdp2|Discover
899a1b70-789a-595c-05fd-d3ef3092a48f|8c7d4e9a-4748-6b8c-e9a8-784b59321990|25/03/2025|Credit|UGX|101.13|qui|N|0799ypuq54zwcgh|Discover
aeae8613-3873-4643-1e9f-58f9a0561151|eed8761e-b10f-c6eb-c716-6b149fb88b86|09/04/2025|Transfer|MAD|74.54|nisi|N|dqr53kctk32lkoc|Amex
31238795-dccc-933a-eb8c-e7822b33a0c9|aeed9157-a889-14d1-651d-b4801f3e59c9|13/04/2025|Transfer|KZT|242.64|in|Y|zuj8m8on5jijll0|Mastercard
88031527-8874-ae08-7907-fef5d107149d|bc02488f-f4c3-4234-8a8d-11920cbf57b9|02/04/2025|Debit|XTS|155.46|aliquid|N|p7bvr2uhmwnnhf4|Mastercard
97844b3e-6401-f90b-4ed0-88ae94404963|7143a1aa-c4f5-bac9-7dc8-57eb58905494|16/03/2025|Transfer|AOA|54|qui|N|15teq6wpotijbsu|Amex
3c76da55-6628-d852-ae0b-88e1da3cbe47|3b067c91-828a-a612-dd68-f97217946440|18/03/2025|Transfer|LBP|245.77|totam|N|z2nyjxufwrodkt8|Mastercard
7129cf29-3307-7af2-b435-b888a13161a5|bd0a3ee9-bcbd-1f2e-db11-10895f630a48|05/04/2025|Debit|MXN|138.01|eum|N|hwnrwx0p9d3n3nf|Visa
e5fc29db-6c9a-b9f4-25cb-ed6fee24a221|b305437d-a9fb-9ec5-eb63-aa008f27bf4f|06/04/2025|Transfer|SOS|82.22|impedit|N|p0antynknc9ne6z|Amex
22f64637-0f9c-7212-abe3-6b1a37effc49|3f48659b-2e19-17e1-fd32-e2ca04ba6054|08/04/2025|Transfer|BTN|137.3|corporis|N|b2o7nsvvyya5omz|Visa
9866190b-28dc-0aa2-7d70-c66be4620492|bd75937f-e64a-d10f-7559-f6f8420d5de4|28/03/2025|Transfer|TND|225.55|et|N|2bepichyoga61qx|Discover
67aa5452-45ce-54c2-e7de-105cc8e58865|68b73921-78d9-d787-56cd-4c44f8236eae|19/03/2025|Debit|CZK|309.79|nihil|N|61qy4yg8uczry1c|Visa
4508243c-30ba-3f43-c930-642ff8acc7ab|b7cef8ac-5621-b325-4a6a-2d77c6f40fd8|19/03/2025|Debit|UYU|107.13|dolorum|N|2cvjnbbsief6dyf|Mastercard
9adbb869-db32-0f42-0e66-9b1a3b8b8b3b|d6944464-5527-deae-6c3b-8225c68022fe|03/04/2025|Debit|SOS|249.1|quia|Y|tpdc9wsecezcehm|Discover
c126b2ba-fd08-a2ed-5f97-3c73672bc3f4|2a8a471e-e25b-a3e0-35dc-bdeb75643891|15/03/2025|Credit|KYD|243.83|numquam|N|obohq0db9kp34jc|Visa
6c199816-d336-264c-ddbd-be682f56fcdc|269bf9c5-23a0-3807-e219-d766700a10fe|29/03/2025|Credit|GEL|145.63|autem|N|r75x7k2256qg8uv|Mastercard
1e2ee35e-011e-8178-8b75-73a6a7ce91b0|6563c8c7-fc97-228f-b012-3fdc12c801db|27/03/2025|Debit|MWK|319.63|eligendi|N|pdgvg5uwzmseiqs|Amex
689b4f9d-7f82-58b0-2479-d743e0c5fbe1|5e46affe-9d48-a797-ab92-d4fd892bddff|11/04/2025|Debit|ISK|81.39|ab|Y|1iys98jphay386e|Amex
fd04d784-1444-974f-94d9-222b11ca1810|cda5529a-ac85-8597-a2f9-71bdc5ec49f3|06/04/2025|Transfer|CDF|190.98|nam|N|brxvubg1xvpz4pa|Discover
c028d526-3106-e5db-a4fb-be41da27d380|4ec42c6e-b4cc-3f9a-0e4c-9e92c2e00757|01/04/2025|Credit|AUD|285.83|quam|N|v6g9jxoa1mwr48o|Discover
c1c285a8-01e2-7c9a-336b-6cfc619bb9f4|e85ee9ba-cec1-08df-88c5-fdbc61d4ebdb|06/04/2025|Transfer|SCR|164.56|est|Y|7rsebz33srgt65s|Amex
6ff991fe-ef77-134b-78bf-aaf73289da30|3116f3ca-00a6-c944-af6f-74f0f716b9b7|31/03/2025|Transfer|ZWL|255.73|iure|N|ane1sbqlgxpk7oj|Amex
ea10afbf-38e0-8dfd-408c-6548a4a0c301|41c66657-788d-9795-3484-cc636d12a4bc|02/04/2025|Debit|ILS|304.49|qui|N|wry0o2age790b0e|Visa
188cc3d6-8cc4-3983-6e97-9f609fa4da5e|0d4a16b9-5a90-e491-66c5-f966bdffed65|23/03/2025|Debit|EEK|369.51|deserunt|N|0hmac29uajdd2xg|Amex
773c6cab-07f7-11f6-ba4a-48fb709ab490|95868413-a0a2-49fa-7964-b038d44700fe|09/04/2025|Debit|BIF|106.07|ipsam|N|qpul2p0o33s73pd|Mastercard
d0925955-c09e-e06d-f36d-082750f1bb5e|485009c7-43af-fa57-f304-401c23964877|09/04/2025|Transfer|SGD|26.11|dolorem|N|8k2me8rnm6bx415|Visa
18b74038-16b4-3288-e5d7-36100cd7bbd4|4e54101e-8bce-9b72-a3c4-274b389c124d|28/03/2025|Credit|XPF|352.96|tenetur|N|iw0kwu3m3xr3r37|Amex
b501a7a8-851a-c3fa-7e1c-e904b918b0ac|2cf50b87-7815-efbe-c6a0-fe38de41f448|26/03/2025|Debit|UAH|108.26|ex|N|z20fyhvhegcng2m|Mastercard
e2626fa9-565d-900d-26f8-6b66fc30ba7f|29c30b13-2d4f-5a44-c379-bdc1c2f71f9a|28/03/2025|Transfer|INR|102.99|dolor|N|suups2t2antl0o0|Mastercard
2296b56a-7a03-33c1-c4d5-c5409e61a246|6343cfd2-d85e-3812-9743-5882c3087cec|04/04/2025|Credit|XAG|236.46|mollitia|N|mz27tribjmvzb1t|Visa
51247653-6ab2-35a1-0354-53e62c6daf15|248f3c0a-6759-8ed3-9533-6dcef74b43ba|16/03/2025|Transfer|MUR|53.18|corrupti|N|stuyiyh8yz1k1jx|Discover
5970ebd7-8565-d71b-830d-38da0f5d97fc|75d6ea75-0b2e-89b3-bb13-e037e6f1cdc6|02/04/2025|Debit|NPR|111.96|doloribus|Y|fxw76slkksjew2c|Discover
03339975-7741-0b36-1c2a-27ef56069e95|485ea485-32bc-b7f0-17fb-a2f78127dd86|11/04/2025|Transfer|THB|330.21|perferendis|N|tod9a9ecgat1rxn|Mastercard
a1711da3-fe9e-4acf-4d76-432eca30a080|c48fd30f-a5f3-358c-f7a9-bd67fe0baced|02/04/2025|Debit|RSD|335.67|numquam|N|e7spl73rbcioq9g|Visa
5207bd1b-5bc4-e146-562b-27f41aa57298|de7e5644-eaab-e7fb-b306-9c35b8d8d0bb|15/03/2025|Debit|SZL|66.53|reprehenderit|N|werjbuiza1bzs10|Amex
c22e4c64-2da7-0004-d607-ae6a7fac03d9|aa3dc81a-1289-1753-1b7a-9bfa68f0d952|06/04/2025|Credit|DOP|360.82|enim|N|7k85q356qc1lblk|Discover
d356aa03-bbd8-a1c8-4708-218b6cbbc062|39ddab4d-61d5-d830-fde9-cbc6cb211931|08/04/2025|Credit|LKR|285.6|officia|N|w4lliui8qew426m|Visa
c85d9178-f9a9-23f3-dcc5-22a1ba5b8820|38fe1f01-11c0-254b-ca14-9d28b9e0e00b|10/04/2025|Debit|BWP|134.82|nulla|N|v60w1j6orbqo6ff|Mastercard
